,"Mukhem village 
Original data",MD,"Using maximum correlated 
Nearer station (Deen Gaon)"
,651.020908,651.020908,651.020908
,96.942492,96.942492,96.942492
,17.951807,17.951807,17.951807
,31.036158,31.036158,31.036158
,10.50323,10.50323,10.50323
,2.114406,2.114406,2.114406
,13.083844,13.083844,13.083844
,37.06254,37.06254,37.06254
,17.367952,17.367952,17.367952
,100.676239,NAN,106.673656
,301.975549,NAN,310.906836
,812.11325,NAN,825.30464
,564.178633,NAN,575.012974
,135.097574,NAN,138.814049
,7.489281,NAN,7.576835
,0.003819,NAN,0.004372
,0.1817,0.1817,0.1817
,71.247204,71.247204,71.247204
,12.503243,12.503243,12.503243
,47.843388,47.843388,47.843388
,45.062712,NAN,47.550348
,159.555672,NAN,167.484852
,432.60066,NAN,442.939176
,679.206701,NAN,695.860337
,458.701744,NAN,465.616292
,188.040139,NAN,188.475613
,2.678064,2.678064,2.678064
,4.554652,4.554652,4.554652
,32.01592,32.01592,32.01592
,9.228204,9.228204,9.228204
,35.189881,NAN,34.15572
,27.21744,NAN,27.29574
,37.176214,37.176214,37.176214
,27.653774,27.653774,27.653774
,222.733771,222.733771,222.733771
,874.202177,874.202177,874.202177
,725.376956,725.376956,725.376956
,458.059428,NAN,453.318181
,5.206787,NAN,5.225467
,12.938245,12.938245,12.938245
,26.288852,26.288852,26.288852
,106.035732,106.035732,106.035732
,125.608392,125.608392,125.608392
,33.694056,33.694056,33.694056
,51.651238,51.651238,51.651238
,33.099275,33.099275,33.099275
,54.05265,54.05265,54.05265
,427.941896,NAN,434.795429
,544.260229,NAN,551.525321
,303.444518,NAN,302.905818
,10.617203,10.617203,10.617203
,50.211828,50.211828,50.211828
,81.719676,81.719676,81.719676
,190.388268,190.388268,190.388268
,49.789274,49.789274,49.789274
,132.733224,132.733224,132.733224
,90.740488,90.740488,90.740488
,111.811957,111.811957,111.811957
,133.884439,NAN,135.240142
,452.856377,452.856377,452.856377
,949.847213,949.847213,949.847213
